Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-07-01,28.715
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-08-01,28.035
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-09-01,27.725
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-10-01,27.605
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-11-01,26.97
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2007-12-01,26.26
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-01-01,26.62
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-02-01,26.07
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-03-01,25.22
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-04-01,25.335
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-05-01,25.21
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-06-01,25.09
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-07-01,23.895
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-08-01,23.95
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-09-01,24.735
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-10-01,24.665
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-11-01,24.23
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2008-12-01,25.21
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-01-01,26.93
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-02-01,27.87
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-03-01,28.125
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-04-01,27.38
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-05-01,26.71
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-06-01,26.83
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-07-01,25.89
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-08-01,25.575
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-09-01,25.38
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-10-01,25.165
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-11-01,26.465
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2009-12-01,26.13
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-01-01,26.465
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-02-01,26.23
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-03-01,25.965
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-04-01,25.445
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-05-01,25.575
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-06-01,25.51
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-07-01,25.695
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-08-01,24.79
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-09-01,24.85
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-10-01,24.61
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-11-01,24.605
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2010-12-01,24.915
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-01-01,25.06
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-02-01,24.23
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-03-01,24.35
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-04-01,24.54
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-05-01,24.21
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-06-01,24.54
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-07-01,24.345
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-08-01,24.19
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-09-01,24.11
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-10-01,24.755
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-11-01,24.8
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2011-12-01,25.32
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-01-01,25.8
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-02-01,25.185
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-03-01,24.84
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-04-01,24.73
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-05-01,24.865
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-06-01,25.695
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-07-01,25.64
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-08-01,25.255
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-09-01,24.84
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-10-01,24.865
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-11-01,25.065
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2012-12-01,25.26
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-01-01,25.14
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-02-01,25.62
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-03-01,25.635
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2013-04-01,25.735
