Dataset,Series ID,Partition,Time,Value
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 22:00:00,7015.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-16 23:00:00,7081.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 00:00:00,7054.65
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 01:00:00,7075.33
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 02:00:00,7168.04
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 03:00:00,7111.67
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 04:00:00,7078.67
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 05:00:00,7122.32
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 06:00:00,7070.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 07:00:00,7093.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 08:00:00,7044.53
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 09:00:00,7072.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 10:00:00,7068.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 11:00:00,7055.55
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 12:00:00,7072.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 13:00:00,7111.27
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 14:00:00,7106.93
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 15:00:00,7076.97
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 16:00:00,7107.37
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 17:00:00,7075.55
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 18:00:00,7033.93
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 19:00:00,7048.51
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 20:00:00,7063.56
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 21:00:00,7046.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 22:00:00,7033.64
Kaggle BTC/USD Hourly,series_0,train,2020-04-17 23:00:00,7070.55
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 00:00:00,7054.72
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 01:00:00,7043.05
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 02:00:00,7053.95
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 03:00:00,7024.19
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 04:00:00,7071.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 05:00:00,7079.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 06:00:00,7088.44
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 07:00:00,7101.34
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 08:00:00,7092.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 09:00:00,7106.85
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 10:00:00,7092.97
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 11:00:00,7098.22
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 12:00:00,7099.59
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 13:00:00,7094.6
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 14:00:00,7085.78
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 15:00:00,7120.15
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 16:00:00,7135.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 17:00:00,7250.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 18:00:00,7232.41
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 19:00:00,7247.13
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 20:00:00,7193.69
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 21:00:00,7191.82
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 22:00:00,7192.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-18 23:00:00,7218.29
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 00:00:00,7233.28
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 01:00:00,7228.47
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 02:00:00,7271.14
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 03:00:00,7262.26
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 04:00:00,7224.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 05:00:00,7233.33
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 06:00:00,7236.08
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 07:00:00,7240.02
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 08:00:00,7232.04
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 09:00:00,7129.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 10:00:00,7162.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 11:00:00,7156.62
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 12:00:00,7155.51
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 13:00:00,7183.33
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 14:00:00,7173.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 15:00:00,7173.89
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 16:00:00,7162.75
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 17:00:00,7103.83
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 18:00:00,7111.05
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 19:00:00,7101.97
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 20:00:00,7125.65
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 21:00:00,7166.63
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 22:00:00,7155.28
Kaggle BTC/USD Hourly,series_0,train,2020-04-19 23:00:00,7145.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 00:00:00,7145.59
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 01:00:00,7195.68
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 02:00:00,7177.43
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 03:00:00,7126.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 04:00:00,7169.58
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 05:00:00,7164.27
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 06:00:00,7180.98
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 07:00:00,7171.76
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 08:00:00,7179.29
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 09:00:00,7179.54
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 10:00:00,7176.75
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 11:00:00,7196.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 12:00:00,7162.66
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 13:00:00,7159.33
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 14:00:00,7083.67
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 15:00:00,6965.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 16:00:00,7045.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 17:00:00,7029.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 18:00:00,7074.97
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 19:00:00,7083.25
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 20:00:00,7053.79
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 21:00:00,6882.04
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 22:00:00,6877.16
Kaggle BTC/USD Hourly,series_0,train,2020-04-20 23:00:00,6768.81
